tanggal,T2M,RH2M,WS2M,PS,Prediksi_T2M,Prediksi_RH2M,Prediksi_WS2M,Prediksi_PS
2025-05-04,25.16,86.92,1.4,95.65,24.409781175470894,86.24581565375274,1.4673971172265976,95.75533886099807
2025-05-05,25.47,88.87,1.79,95.7,24.099423648737652,86.06634610350126,1.4407018926426034,95.73379957624553
2025-05-06,25.27,90.12,1.75,95.72,24.002991288043752,87.01216636984304,1.549909816414576,95.77917689369406
2025-05-07,25.27,90.61,1.72,95.58,24.017840893019713,86.61578177439208,1.4986500518293209,95.75680261005094
2025-05-08,25.14,89.37,1.15,95.61,24.897106693479625,84.90248821298755,1.3891533891752348,95.68550913120824
2025-05-09,24.2,92.22,0.66,95.72,24.79940224744278,86.74984314841588,1.4400459794892482,95.70097948778573
2025-05-10,24.87,88.15,0.68,95.67,24.73660486093425,87.86196588430488,1.4822293999319323,95.7327109357478
2025-05-11,24.43,93.09,0.69,95.56,24.56748027933668,86.88858750910462,1.4523705283343642,95.70468925923929
2025-05-12,25.12,89.32,1.16,95.57,24.27217197048452,87.44827402940513,1.6038169187077682,95.75656100272329
2025-05-13,24.87,92.72,1.58,95.6,24.195181860335474,88.38893106112786,1.6997335606907964,95.78123357268943
2025-05-14,24.73,91.94,1.62,95.71,24.35782368907153,89.18055043711969,1.6697854385686626,95.73503801651789
2025-05-15,25.15,88.5,0.98,95.75,24.61962372014747,86.99291556393716,1.4842566278968257,95.68360294826795
2025-05-16,24.72,92.76,2.03,95.71,24.46810253878568,87.67144903857414,1.5473187987192802,95.71396210858344
2025-05-17,24.48,91.58,1.34,95.74,24.554818376587477,87.07182753810146,1.568446290470017,95.70382314046537
2025-05-18,24.57,90.77,1.62,95.71,24.502822253832264,88.38128781240607,1.6273761536750624,95.67331954703373
2025-05-19,24.61,90.55,1.89,95.71,24.84531640133194,88.97615904008465,1.634684404459423,95.72785706534083
2025-05-20,24.48,90.24,2.29,95.71,24.649792127947787,89.93843020949171,1.7033022147827588,95.75382203042433
2025-05-21,24.48,89.87,2.75,95.65,24.62752756534055,88.70777707921506,1.806294247437572,95.78308640102523
2025-05-22,24.64,88.03,1.75,95.59,24.87771957896562,87.67460700998926,1.740089140237362,95.76211420337019
2025-05-23,24.31,93.89,1.77,95.52,24.18325263851712,87.79650318661572,1.6792249532276833,95.75016879779461
2025-05-24,24.51,88.2,1.23,95.57,24.22243801661086,85.25154688171159,1.5104501265659038,95.6927611869811
2025-05-25,24.57,88.4,1.62,95.64,24.621333761949664,87.17776835986665,1.7208558625169792,95.7477323316947
2025-05-26,24.59,89.46,1.7,95.67,24.590593082424498,88.00540493661704,1.8407585434098577,95.77084907182177
2025-05-27,24.32,91.18,1.76,95.71,24.27916867711467,87.42339689882573,1.8646924366987532,95.79615132164045
2025-05-28,25.26,85.34,0.98,95.81,24.003286199026558,88.31269465691481,1.8662302921558331,95.78865557549294
2025-05-29,25.0,85.7,1.21,95.87,24.324098637367225,87.81201675980326,1.6765410258943323,95.71955955710587
2025-05-30,25.32,85.48,1.17,95.9,24.29365070003038,90.02323375905603,1.8034979432261946,95.75884890529564
2025-05-31,25.03,89.73,1.13,95.97,24.488149181017942,88.36764997369343,1.623049925517161,95.73184273542081
